Jhgregs,525054585,2020/5/28 7:52,"We are not being killed because we are black, we are being killed because they are racist. Being BLACK is not the problem, Being white and racist is. ",,,3
multixjenn,1.13E+18,2020/5/28 7:52,"i am white and do not understand what it is like to fear for my life everytime i go outside or see a cop. neither do any other white people, stop acting like you are opressed, be aware of the racism towards black people and use your voice to spread awareness. ",,,3
GguksFlowerr,1.23E+18,2020/5/28 7:52,"Racism will never make sense to me, There is no excuse to judge and treat people differently just because of the colour of their skin,  My prayers go out to the people affected by this cruelty. ",,,3
secondsofsmmr,1.02E+18,2020/5/28 7:52,"the amount of people that still do not want to talk about what is happening is INFURIATING, racism is NOT drama, it is NOT SOMETHING YOU CAN CHOOSE TO IGNORE. ",,,3
ty_paul_,1.07E+18,2020/5/28 7:52,"How the hell you supposed to do anything correct when one cop is screaming stop resisting and get in the car while the other cop has your hands cuffed behind your back and his knee on your neck,There is no winning with dirty cops.",,,1
pinkroseirwin,9.99E+17,2020/5/28 7:52,"i am still so sad to hear this heartbreaking news, i send all my prayers to him, and his loved ones, we all want justice for his death.",,,2
lovelyynattt,8.97E+17,2020/5/28 7:52,"The racism seriously needs to stop, how long will we have to deal with this,We can not even walk the streets peacefully, We can not live our lives all because the discrimination towards color. ",,,3
NateWendt,32299104,2020/5/28 7:52,the amount of people that still do not want to talk about what is happening is INFURIATING. racism is NOT drama. it is NOT SOMETHING YOU CAN CHOOSE TO IGNORE.,,,3
shutupnox,1.26E+18,2020/5/28 7:52,cops will fight all day for the right to bear arms but they all pretend not to understand the constitution when it comes to freedom of speech and freedom of protest.,,,1
nataliexmg,1.22E+18,2020/5/28 7:52,my heart breaks for and every single Black person in America who fears for their life because of the perpetual systemic and overt racism that exists in our country.,,,3
wlwdejonge,8.80E+17,2020/5/28 7:52,"silence shields racism, speak out, use your voice, say their names, fight for justice. if you do not see an issue and decide to take a neutral stance, you are part of the problem and have chosen the side of the oppressor.",,,3
amishaagrewal,9.54E+17,2020/5/28 7:52,What happened to this poor man should be one of millions of wake up calls to end this blatantly disgusting system. ,,,3
coolguy_cal,7.78E+17,2020/5/28 7:52,"the cop that killed knew he was being recorded and had many witnesses surrounding him begging him to get off of George. he had so much faith in the corrupted police system that he knew there was proof of him murdering an innocent civilian, and he did not care.",,,1
ilysdolan,2769634875,2020/5/28 7:52,I am fucking tired of people being killed just because of their skin color.,,,3
iIysvt,9.51E+17,2020/5/28 7:52,how many more lives is it go to take for our government to realize how fucked up the justice system is we need change and we need it now. ,,,5
RachelMarieT21,566017646,2020/5/28 7:53,"We as white people must use our privilege to create a platform to help,  It does not matter how uncomfortable we are to speak out against the unjust actions towards people of color,You know what is more uncomfortable.",,,3
aubrey_huaracha,2264857754,2020/5/28 7:53,"Why do I live in a country where I feel like it is my duty to protect people from police.The police officers duty is to serve and protect, But I do not see any of that happening, I see murder. ",,,1
SlyMagellen,1038728899,2020/5/28 7:53,"Maybe some primordial uncontrollable fear is triggered when they get their hands on a black man because they know we are all descended from Africa and they just can not accept that we are brothers and sisters, like God says. ",,,3
victaerian,1179151249,2020/5/28 7:53,"what happened to George Floyd was horrible and disgusting and its not the first time something like this has happened to black people in America, please raise your voices and help put an end to these injustices. ",,,3
fouralmightyx,2428404155,2020/5/28 7:53,"It scares me so much, the world we live in, Why can not it be a safe place for everyone.Why are we still in a world full of racists,This is unbelievable what happened, but sadly it is the reality. ",,,3
cathshailey,1.24E+18,2020/5/28 7:53,"Probably if I went there I would end up in a cage because that is how they like to treat Latinos. I stand with every single black person, and I demand justice for George Floyd. We can not be silenced, Those white supremacists need to be in jail. ",,,3
JodeneRdc,9.03E+17,2020/5/28 7:53,"Cops killed , did not avoid Cutting off his right to breathe,Deadly force was excessive, of course,it is making seethe.It was not hard to be a security guard-DA real danger was the police.",,,1
jasperhle,2509426836,2020/5/28 7:53,"white silence is not supportive,white silence is violence,white silence is not neutral ground,please do not stay silent.",,,2
FashnDiva,22658412,2020/5/28 7:53,"Can someone explain to me how white people can protest a virus, screaming at medical professionals, fully armed and not be penalized, but an unarmed black man is wrestled to the ground pleading to breathe.",,,3
adoredsnflwr,1.01E+18,2020/5/28 7:53,"as a white person, i will NEVER understand what it is like to fear for my life because of the color of my skin. ",,,3
tomoko_2020,1495980662,2020/5/28 7:53,All three cops def need life in prison. ,,,1
simpsonbryanne1,1.15E+18,2020/5/28 7:53,"this is not an incident, or an accident, this was a murder, his last words were basically him begging for mercy, please do not let this story be silenced, please do not let it blow over in a couple days, justice is needed.",,,2
StayRedBeHumble,8.74E+17,2020/5/28 7:53,"What is wrong with people today,Cops are supposed to be protectors,peace keepers. But instead they have become a symbol of fear. What happened in Minneapolis was horrifying and they should be ashamed of themselves, This is the reason no one feels safe anymore. ",,,1
lesbianFinnA24,1.20E+18,2020/5/28 7:53,"The protest started off PEACEFULLY but police had to come and start gassing it, This is horrible. ",,,4
bratsuga,1.03E+18,2020/5/28 7:53,"a black person can not be racist to a white person,they can be hateful and prejudiced based on skin color, but white people cant experience racism in a society that is built entirely to their advantage.",,,3
dixisonrae_,492444137,2020/5/28 7:53,my heart breaks for George Floyd and every single Black person in America who fears for their life because of the perpetual systemic and overt racism that exists in our country.,,,3
lisasrolex,1.14E+18,2020/5/28 7:53,if you are not using your privilege to actively speak up against systematic racism you are just as complicit.,,,3
sopevictim,320641451,2020/5/28 7:53,"if you are racist get the fuck off of twitter, the entire app could do without your shit opinions and bullshit excuses,there is no excuse for racism, racism is racism.",,,3
LynnDanvers,351791082,2020/5/28 7:53,"As long as the black community is not burning, being destroyed cause of rioting I see no issues , If you go to fuck some shit up go to be they shit.",,,4
supcrfriends,8.49E+17,2020/5/28 7:53,"so many black people fear for their lives just because of their skin color, if you look white you will never have to deal with that, it is not right, but take advantage of your privilege and speak up. ",,,3
tbslghosts,1.26E+18,2020/5/28 7:53,"race should never been seen as a threat, saying you feel threatened by someones race makes me feel physically ill, we are all the same despite what race we are. ",,,3
honeymingii,1.02E+18,2020/5/28 7:53,"it hurts because i dropped a lot of people out of my life who laughed at my little brothers skin colour, yes he is darker than me but we are related by blood and i will always defend.",,,3
defpoiison,307129524,2020/5/28 7:53,"I am not American and I do not live there but it breaks my heart how in 2020 people are being killed for their skin colour, its just ridiculous to think we still live in a world were racism is a daily thing for some people.  ",,,3
okaydarIing,2831019236,2020/5/28 7:53,"White people are not oppressed, Their lives are not made harder because they are white. We have to use our privilege to help black people, who are still being targeted for their skin color. do not just stand and watch,Get involved in every way you can. ",,,3
