data,object
"you should donate money to toward helping end systemic racism, white supremacy, and racial bias in the criminal justice system.",racism
I get that people be like it should just be all lives matter BUT black people have always been and ARE oppressed in our society. please educate yourself about what the movement is. It campaigns against violence and systematic racism towards ALL black people. ,racism
"some of you have to understand that black people have to deal with racism, oppression and police brutality on a daily basis not just when there is news like this. you can not just hashtag something and then move on,you have to be aware of your privilege.",racism
"This is absolutely the right call, But there is many other right calls tht need to be made. They need to be arrested and charged with murder. I do believe this Mayor will make sure that the officer who refused to let breathe and the cop that watched and did nothing WILL GO DOWN.",cop
"Another case of anti-black violence that has sparked outraged. Yesterday, George Floyd life was taken away senselessly by a white police officer as he yelled I can not breathe and pled for his life.  ",Floyd
"How much is a life worth,How much is George Floyd life worth.It can never be quantified in terms of money.But sue the city for all it is worth,A billion USD or A trillion.",Floyd
"i can not believe that we live in a world with so much hate.i am so sick and tired of racism,i love you all so much.  ",racism
if BOTH of these cop do not spend the rest of their lives in jail i just do not understand anymore.imagine murdering someone when YOU are supposed to be the good guys.he was not resisting and constantly saying he can not breathe.,cop
"I can not even deal with that video got me so heated and sad.for every cop you see killing like that, cop are nothing more but armed thugs of the state.",cop
"Hope those cop go to jail for life,especially the one who had his knee on George Floyd. ",cop
"I would not share the graphic video,it is just as unjust, cruel as other murders of black folks in this country that we have seen over and over. George Floyd did not deserve this.",Floyd
"Rest in Paradise George Floyd,your story will be told and justice will be served.Deepest condolences to Floyds family.  ",Floyd
"repeatedly said he could not breathe and was told to shut up by the police officer kneeling on his neck, which continued long after Mr Floyd appeared to fall unconscious.He later died,four police officers were subsequently fired but not indicted.  ",Floyd
"four cop should be charged for murder,firing does nothing.",cop
We must put forth our Agenda of Demands for these legislators to pass State and Federal Bills that will prosecute and punish racist cop who kill our people.,cop
"Not all cop are bad, but when it is this bad, you have to call it out.four cop and a knee on a throat is not proper police work.Good to see they were fired, need charges brought.",cop
"George Floyd life mattered, he was not resisting.His life got chocked out for no reason,how many times are we really going to sound this.",Floyd
How many more black people are police or cop going to kill.,cop
"they killed george floyd.mercilessly,he was not resisting arrest,yet a white cop continues to crush his neck with his knee enjoying that this man is dying because of him.His partner,an asian man failed us,refused to check for a pulse too.",cop
"Just watched the George Floyd video.Lord,have mercy,he was being arrested for forgery.And could not get enough mercy to catch his breath. We have to do better as a country. ",Floyd
"This country is so sickened by racism,I do not know what more to say. ",racism
This is murder and the guy recording was absolutely correct.That cop was enjoying having his knee in a defenseless mans neck until he died. ,cop
"George Floyd was a black guy who was unarmed and murdered on broad daylight. This is murder,And it is disgusting and more than insane.We must demand Justice for George Floyd.  ",Floyd
"If you truly DO NOT believe racism is systemically rampant throughout USA, please see cop kneeling on a black man's neck, murdering him. ",racism
"nothing justifies what happened to Georges Floyd.i am so ashamed to live in a world like this,so many officers are murderers in BROAD DAYLIGHT, it is disgusting.",Floyd
"This same thing  racism and fear almost got me murdered two years ago this month, so it is already a tough time of year.",racism
"IT WAS four cop that participated in the murder of George Floyd.All four have been fired,Prison should be their portion.",cop
"i want to cry,i can not believe that this still happens in 2020.i really hope that those disgusting and horrible cop get what they deserve.",cop
"Those cop should be thrown in prison at minimum,the way us Mundanes would be when faced with an identical felony crime.",cop
"The officer can shift his weight and still maintain control,allowing Mr Floyd just enough room to take a breath,But not enough room to launch an attack. Because he would now have a free hand to control Mr Floyd head.",Floyd
Grorge Floyd was murdered by police officers for existing as a black man. i feel sick to my stomach and my heart aches for him and his loved ones.,Floyd
"Set the precedent for both citizens and good officers to keep EVERYONE safe.Arrest and prosecute to the fullest extent,These men have further pushed the narrative of bad cop thus endangering those who are decent cop AND certainly the  citizens.",cop
The paramedic in this video is as guilty as that cop standing.,cop
